-700.,9.85967654375977e-305
-699.9,1.0896627777796162e-304
-699.8,1.2042636125115864e-304
-699.7,1.3309171222444046e-304
-699.6,1.4708908978734811e-304
-699.5,1.6255858439919856e-304
-699.4,1.7965501996154402e-304
-699.3,1.9854950334780294e-304
-699.2,2.1943113689833528e-304
-699.1,2.4250891102032183e-304
-699.,2.680137958338607e-304
-698.9,2.962010527986537e-304
-698.8,3.2735278945646896e-304
-698.7,3.617807828581971e-304
-698.6,3.998295999335293e-304
-698.5,4.4188004603236755e-304
-698.4,4.883529761529121e-304
-698.3,5.397135069999011e-304
-698.2,5.964756720288539e-304
-698.1,6.592075660659323e-304
-698.,7.285370309915161e-304
-697.9,8.051579393930187e-304
-697.8,8.898371390748994e-304
-697.7,9.834221279291248e-304
-697.6,1.0868495359793625e-303
-697.5,1.201154499488431e-303
-697.4,1.3274810209503545e-303
-697.3,1.4670934186517346e-303
-697.2,1.6213889803939305e-303
-697.1,1.7919119480197394e-303
-697.,1.9803689727037426e-303
-696.9,2.188646195691572e-303
-696.8,2.418828125435283e-303
-696.7,2.6732185000542666e-303
-696.6,2.9543633439218464e-303
-696.5,3.2650764491312215e-303
-696.4,3.60846753687361e-303
-696.3,3.9879733805728694e-303
-696.2,4.407392202268561e-303
-696.1,4.870921686500707e-303
-696.,5.383200992144689e-303
-695.9,5.94935718267442e-303
-695.8,6.575056539536386e-303
-695.7,7.266561272198057e-303
-695.6,8.030792192448257e-303
-695.5,8.875397980202985e-303
-695.4,9.808831734067902e-303
-695.3,1.0840435572789618e-302
-695.2,1.1980534134318722e-302
-695.1,1.3240537908261957e-302
-695.,1.4633057435889614e-302
-694.9,1.6172029520676173e-302
-694.8,1.787285671251257e-302
-694.7,1.9752561461600222e-302
-694.6,2.1829956484862872e-302
-694.5,2.4125833049927886e-302
-694.4,2.6663169061129207e-302
-694.3,2.946735903009504e-302
-694.2,3.25664682325519e-302
-694.1,3.5991513595051615e-302
-694.,3.9776774122776247e-302
-693.9,4.396013397535729e-302
-693.8,4.858346162427519e-302
-693.7,5.369302888658832e-302
-693.6,5.933997402885444e-302
-693.5,6.558081357605563e-302
-693.4,7.247800794799896e-302
-693.3,8.010058658418591e-302
-693.2,8.852483881363458e-302
-693.1,9.78350773841655e-302
-693.,1.0812448229266266e-301
-692.9,1.1949603336183881e-301
-692.8,1.3206354089690463e-301
-692.7,1.4595278473733964e-301
-692.6,1.613027731038667e-301
-692.5,1.7826713383935228e-301
-692.4,1.970156519679558e-301
-692.3,2.177359689607029e-301
-692.2,2.406354607143689e-301
-692.1,2.6594331303926156e-301
-692.,2.939128154276867e-301
